label,method,round,aggregation_error
spreadA,hetlora,1,1.5452695375177512
spreadA,hetlora,2,1.052457264173029
spreadA,hetlora,3,1.1877702082801507
spreadA,hetlora,4,1.2374810407105001
spreadA,hetlora,5,1.215987549338464
spreadA,hetlora,6,1.2091663063637896
spreadA,hetlora,7,1.2056302683802678
spreadA,hetlora,8,1.1975687496958174
spreadA,hetlora,9,1.1968871768320148
spreadA,hetlora,10,1.192473545991843
spreadA,hetlora,11,1.189449614988343
spreadA,hetlora,12,1.189955419169942
spreadA,hetlora,13,1.1863321309961365
spreadA,hetlora,14,1.1854198479838374
spreadA,hetlora,15,1.1852218391017468
spreadA,hetlora,16,1.1811700530160938
spreadA,hetlora,17,1.1797648631341482
spreadA,hetlora,18,1.1813019944857075
spreadA,hetlora,19,1.180774981157296
spreadA,hetlora,20,1.1812165218263087
spreadA,hetlora,21,1.1786189354979815
spreadA,hetlora,22,1.179403228300055
spreadA,hetlora,23,1.176315952522322
spreadA,hetlora,24,1.1778233161308604
spreadA,hetlora,25,1.1763477926901325
spreadA,hetlora,26,1.175554223166218
spreadA,hetlora,27,1.1773578330647703
spreadA,hetlora,28,1.1744802228382243
spreadA,hetlora,29,1.1758808359225135
spreadA,hetlora,30,1.1736965980856837
spreadA,hetlora,31,1.1741470344248044
spreadA,hetlora,32,1.1738966809965512
spreadA,hetlora,33,1.173615181546951
spreadA,hetlora,34,1.1749482758401917
spreadA,hetlora,35,1.1732529052313234
spreadA,hetlora,36,1.173112910722361
spreadA,hetlora,37,1.1728385777738215
spreadA,hetlora,38,1.1732620734805996
spreadA,hetlora,39,1.1729198896177468
spreadA,hetlora,40,1.1710426603361745
spreadA,hetlora,41,1.1712754040772937
spreadA,hetlora,42,1.1721627100726344
spreadA,hetlora,43,1.1703425350709205
spreadA,hetlora,44,1.1705583744379071
spreadA,hetlora,45,1.1719664002494106
spreadA,hetlora,46,1.173448748456107
spreadA,hetlora,47,1.172120963174995
spreadA,hetlora,48,1.1715149829482876
spreadA,hetlora,49,1.170793479600299
spreadA,hetlora,50,1.1723827841499859
spreadA,hetlora,51,1.1714086710772498
spreadA,hetlora,52,1.1705152267066992
spreadA,hetlora,53,1.1710864796775895
spreadA,hetlora,54,1.1721008227065621
spreadA,hetlora,55,1.170252560606287
spreadA,hetlora,56,1.1698236024999418
spreadA,hetlora,57,1.1710723254888884
spreadA,hetlora,58,1.1703908431820642
spreadA,hetlora,59,1.1723779551646272
spreadA,hetlora,60,1.1698625939361034
spreadA,hetlora,61,1.1697076695321968
spreadA,hetlora,62,1.169801071818893
spreadA,hetlora,63,1.1699179520699967
spreadA,hetlora,64,1.1713515075005623
spreadA,hetlora,65,1.1701418024974342
spreadA,hetlora,66,1.1713579759605417
spreadA,hetlora,67,1.1696250120088367
spreadA,hetlora,68,1.1706855749382206
spreadA,hetlora,69,1.170583880008042
spreadA,hetlora,70,1.1702048349373437
spreadA,hetlora,71,1.170758525528907
spreadA,hetlora,72,1.1689379556137174
spreadA,hetlora,73,1.1687403498484983
spreadA,hetlora,74,1.1699246300146082
spreadA,hetlora,75,1.1706300813970618
spreadA,hetlora,76,1.169876501727065
spreadA,hetlora,77,1.1692210496033566
spreadA,hetlora,78,1.1703538598293601
spreadA,hetlora,79,1.1679177861352639
spreadA,hetlora,80,1.1704511399685325
spreadA,hetlora,81,1.1691778885309563
spreadA,hetlora,82,1.1702101630994344
spreadA,hetlora,83,1.168930613599713
spreadA,hetlora,84,1.169526131511285
spreadA,hetlora,85,1.1680319469843436
spreadA,hetlora,86,1.1704587655982812
spreadA,hetlora,87,1.169131968754417
spreadA,hetlora,88,1.1698925969583678
spreadA,hetlora,89,1.1692504242081563
spreadA,hetlora,90,1.1683221192838822
spreadA,hetlora,91,1.166935725112318
spreadA,hetlora,92,1.167035975930788
spreadA,hetlora,93,1.1676118427572548
spreadA,hetlora,94,1.1670091715096405
spreadA,hetlora,95,1.168995824479202
spreadA,hetlora,96,1.1686468745368186
spreadA,hetlora,97,1.1671048436552274
spreadA,hetlora,98,1.1677690815103396
spreadA,hetlora,99,1.1679672569026114
spreadA,hetlora,100,1.1689201393550783
